@relation 'trainingset-weka.filters.unsupervised.attribute.NumericToNominal-R65_principal components-weka.filters.unsupervised.attribute.PrincipalComponents-R0.95-A5-M-1'

@attribute '0.237Att No :36+0.235Att No :28-0.23Att No :30+0.227Att No :27-0.227Att No :38...' numeric
@attribute '0.294Att No :59+0.286Att No :3-0.284Att No :5-0.259Att No :29-0.256Att No :13...' numeric
@attribute '0.37 Att No :62+0.326Att No :54+0.323Att No :63+0.319Att No :61-0.283Att No :4...' numeric
@attribute '-0.333Att No :58-0.293Att No :2+0.27 Att No :16+0.27 Att No :24-0.261Att No :49...' numeric
@attribute '0.403Att No :24+0.403Att No :16+0.235Att No :17+0.216Att No :9-0.204Att No :34...' numeric
@attribute '-0.381Att No :26-0.286Att No :24-0.286Att No :16-0.272Att No :52-0.27Att No :34...' numeric
@attribute '-0.472Att No :9-0.465Att No :1+0.29 Att No :24+0.29 Att No :16-0.234Att No :17...' numeric
@attribute '0.397Att No :14+0.355Att No :6-0.286Att No :52+0.271Att No :1+0.232Att No :54...' numeric
@attribute '-0.333Att No :18-0.319Att No :11-0.286Att No :25+0.274Att No :34-0.261Att No :4...' numeric
@attribute '0.456Att No :26-0.248Att No :60+0.243Att No :34+0.228Att No :18-0.224Att No :11...' numeric
@attribute '-0.394Att No :1+0.36 Att No :49+0.283Att No :46+0.271Att No :12+0.237Att No :41...' numeric
@attribute '-0.406Att No :60-0.338Att No :4+0.323Att No :57+0.289Att No :6-0.225Att No :49...' numeric
@attribute '0.82 Att No :57+0.24 Att No :4-0.239Att No :2+0.176Att No :55-0.174Att No :58...' numeric
@attribute '-0.313Att No :60+0.279Att No :49+0.255Att No :12-0.218Att No :61+0.216Att No :33...' numeric
@attribute '0.371Att No :55-0.348Att No :60-0.304Att No :1+0.274Att No :17-0.26Att No :26...' numeric
@attribute '0.352Att No :11+0.314Att No :49+0.311Att No :1-0.294Att No :33-0.294Att No :25...' numeric
@attribute '0.555Att No :52-0.285Att No :3+0.24 Att No :51-0.197Att No :20-0.193Att No :37...' numeric
@attribute '0.576Att No :49-0.348Att No :33-0.307Att No :12-0.284Att No :41-0.185Att No :1...' numeric
@attribute '0.525Att No :55-0.349Att No :63-0.231Att No :61+0.206Att No :21-0.196Att No :62...' numeric
@attribute '0.404Att No :63+0.334Att No :25+0.323Att No :21-0.245Att No :53+0.24 Att No :13...' numeric
@attribute '0.395Att No :60-0.389Att No :4-0.291Att No :54-0.23Att No :46+0.229Att No :42...' numeric
@attribute '-0.492Att No :6+0.422Att No :22+0.33 Att No :19+0.235Att No :13-0.221Att No :4...' numeric
@attribute '0.367Att No :12-0.343Att No :33-0.329Att No :41+0.327Att No :63-0.241Att No :11...' numeric
@attribute '0.512Att No :9+0.298Att No :13-0.29Att No :1-0.246Att No :37+0.24 Att No :6...' numeric
@attribute '-0.335Att No :25+0.293Att No :14-0.272Att No :53-0.26Att No :3+0.259Att No :4...' numeric
@attribute 'Att No :64' {0,1}

@data
-4.652163,-0.174927,-0.210687,-1.813543,1.059762,1.114266,1.394155,0.147019,-0.372969,-0.708018,0.031149,0.443158,-0.457194,0.916846,-0.557065,0.385056,0.421964,0.332375,0.345537,-0.147859,0.195375,0.483345,0.204899,-0.071142,0.430468,0
-2.786169,-1.140697,-1.268517,-0.762814,-0.214848,-0.096525,2.326009,2.12987,-1.612515,-0.049864,-1.899488,-0.298103,0.706621,-0.185633,-0.085837,0.600936,0.840361,0.42104,-0.446429,-0.261391,0.328717,1.195493,0.013759,-0.193128,1.092249,0
-2.611373,-0.993272,-1.095788,0.914075,-1.581133,-1.29038,0.872023,-0.077892,-0.173892,-0.281933,-1.095179,1.299832,-0.354672,-0.948925,0.241837,0.718558,0.063809,0.769332,0.321719,0.242406,0.049215,0.49923,0.854662,-0.543709,0.362028,0
-6.349534,0.507502,-0.116164,-3.321855,2.372976,-0.800672,-1.437478,-0.898083,0.724614,0.252977,-0.179095,-1.432096,-0.75811,0.393438,0.070276,0.207688,-1.76685,0.905998,-0.15277,-0.529615,0.951771,0.297695,-0.724604,0.654428,-0.283612,0
-2.915185,0.176253,-1.330181,-2.191605,-0.320594,-1.259769,1.587397,-0.075872,-0.265195,-0.683408,-1.838768,0.959236,-0.773619,-0.862837,-0.469585,0.136484,0.530798,0.13623,0.665935,-0.667837,-0.203382,1.59034,0.661948,-0.365417,0.220602,0
-3.328074,1.356725,-0.315573,1.329428,-1.106912,0.407744,0.733575,1.265243,-0.372159,1.563306,0.403348,-0.618931,0.340138,-0.328789,0.149664,0.475494,-0.049405,-0.520535,0.092291,0.586377,-0.597319,-0.411605,-0.266534,0.542182,0.300847,0
-2.768736,0.830335,0.216269,3.00839,-1.560781,0.380448,0.046915,0.263369,-0.772786,-0.749406,0.573772,0.640319,0.687556,0.596068,0.521993,-0.32349,1.297085,0.592132,-0.116018,0.344019,-0.418014,-0.170817,0.615315,-0.234968,0.18445,0
-2.453088,-0.904245,-2.085723,0.381047,-1.896254,-1.815552,0.407253,-0.329584,-0.463403,-0.745545,-0.699232,0.172451,0.317987,-0.039904,0.410706,-0.218452,0.586957,0.083866,-0.2201,0.123475,-0.444745,0.356502,0.483318,-0.406332,-0.084909,0
-3.088241,0.037944,-0.715164,2.440544,-0.639995,-2.519218,-2.618338,-0.807595,0.51464,-0.560728,-1.82179,1.343438,-0.110639,0.498961,0.452799,-1.448025,-1.327382,0.929944,-1.19237,-0.640695,1.073495,1.017895,-0.102532,1.96248,0.161595,0
-4.205718,1.543651,1.263023,1.729975,0.308577,-0.165153,-1.934214,0.489607,0.939769,1.244441,1.740193,1.861357,-0.96188,-0.7395,0.776046,-0.31468,-1.872147,-0.923187,-0.242801,-0.027103,0.001461,0.16007,-0.63941,-0.938023,1.050673,0
