@relation 'trainingset-weka.filters.unsupervised.attribute.NumericToNominal-R65_principal components-weka.filters.unsupervised.attribute.PrincipalComponents-R0.95-A-1-M2'

@attribute '0.237Att No :36+0.235Att No :28-0.23Att No :30+0.227Att No :27-0.227Att No :38+0.225Att No :44+0.214Att No :35+0.213Att No :20+0.205Att No :19-0.205Att No :33-0.201Att No :10-0.19Att No :46-0.188Att No :41-0.184Att No :50+0.182Att No :43-0.178Att No :18-0.16Att No :42-0.158Att No :22-0.146Att No :25-0.144Att No :17-0.138Att No :53-0.136Att No :45-0.131Att No :21+0.113Att No :52-0.111Att No :34-0.11Att No :26-0.107Att No :49-0.101Att No :58-0.099Att No :37-0.098Att No :13-0.095Att No :59-0.094Att No :9-0.089Att No :29-0.086Att No :2-0.078Att No :3+0.078Att No :62+0.074Att No :12+0.067Att No :63+0.062Att No :55+0.057Att No :51+0.052Att No :61+0.044Att No :6+0.043Att No :5-0.027Att No :4-0.024Att No :54-0.018Att No :1-0.013Att No :14+0.005Att No :60+0.005Att No :11-0.005Att No :57+0.004Att No :24+0.004Att No :16' numeric
@attribute '0.294Att No :59+0.286Att No :3-0.284Att No :5-0.259Att No :29-0.256Att No :13-0.249Att No :37-0.229Att No :6+0.227Att No :11+0.224Att No :51-0.221Att No :21-0.2Att No :14-0.193Att No :45+0.187Att No :2+0.18 Att No :58+0.156Att No :50+0.136Att No :10+0.129Att No :63+0.126Att No :60+0.118Att No :55-0.113Att No :53-0.107Att No :12+0.1  Att No :43-0.098Att No :61+0.096Att No :35-0.095Att No :22+0.093Att No :42-0.089Att No :20-0.085Att No :4+0.082Att No :62-0.075Att No :25+0.064Att No :54-0.064Att No :26-0.052Att No :28-0.04Att No :44+0.035Att No :9-0.034Att No :36+0.033Att No :41+0.032Att No :49+0.028Att No :34+0.028Att No :24+0.028Att No :16+0.024Att No :1+0.021Att No :27+0.018Att No :18+0.017Att No :46-0.011Att No :52-0.011Att No :17+0.008Att No :38-0.008Att No :30-0.005Att No :33+0.003Att No :57-0.002Att No :19' numeric
@attribute 'Att No :64' {0,1}

@data
-4.652163,-0.174927,0
-2.786169,-1.140697,0
-2.611373,-0.993272,0
-6.349534,0.507502,0
-2.915185,0.176253,0
-3.328074,1.356725,0
-2.768736,0.830335,0
-2.453088,-0.904245,0
-3.088241,0.037944,0
-4.205718,1.543651,0
-4.86633,1.423333,0
-2.078895,0.425804,0
-2.817895,0.127189,0
-3.318687,0.826498,0
-3.56112,0.026481,0
-2.878557,1.414909,0
-5.030696,-0.20858,0
-4.442361,0.179134,0
-5.216214,1.103139,0
-1.225446,-0.977194,0
-3.597287,-0.039592,0
-4.318842,0.714185,0
-2.935694,-0.301019,0
-2.708248,0.325661,0
-5.709557,1.101281,0
-3.55768,0.404356,0
-3.528563,-0.223393,0
-4.061634,1.157506,0
-3.133772,0.407437,0
-3.312551,-1.147735,0
-4.547057,0.218801,0
-3.07575,1.341194,0
-4.681385,0.846794,0
-4.052772,0.580966,0
-2.713002,0.598394,0
-4.510631,-0.81848,0
-2.924931,0.853333,0
-3.098451,0.986573,0
-3.535575,1.10267,0
-4.90999,1.524373,0
-5.326626,-0.054229,0
-3.684963,0.147493,0
-3.744725,-0.130967,0
-4.835354,0.98975,0
-4.798102,0.727278,0
-2.930064,-0.105558,0
-5.116992,0.610076,0
-3.878361,-0.712241,0
-5.508646,0.113988,0
-3.878899,0.80219,0
-3.256589,0.460083,0
-3.885098,-0.508143,0
-3.932967,-0.650938,0
-3.096147,-0.700424,0
-4.267219,-1.073127,0
-3.654946,-1.208523,0
-4.133365,-0.201247,0
-2.964431,-0.59508,0
-6.425912,0.52254,0
-3.374275,-2.028062,0
-1.667857,-0.87606,0
-3.020615,-0.974988,0
-2.694448,-1.370756,0
-4.21444,-1.747201,0
-4.598434,-0.675945,0
-5.308826,1.01611,0
-3.367653,-0.061351,0
-4.673731,0.382845,0
-2.39054,0.229476,0
-4.656272,0.08316,0
-3.085129,-0.109391,0
-2.581075,0.703963,0
-0.832364,-2.002444,0
-2.888178,-1.144941,0
-3.98263,-0.183795,0
-3.244563,0.683435,0
-2.922382,0.058823,0
-2.616284,-0.388745,0
